temperature,ph,dates
27.381,6.613,2022-10-01
27.546,7.066,2022-10-02
26.217,7.044,2022-10-03
26.836,6.035,2022-10-06
27.423,6.655,2022-10-05
29.166,6.217,2022-10-07
28.9,7.022,2022-10-04
25.199,7.18,2022-10-08
26.42,6.486,2022-10-09
26.503,6.271,2022-10-10
25.559,7.078,2022-10-11
27.649,7.076,2022-10-12
28.024,6.782,2022-10-13
25.375,7.007,2022-10-14
28.571,7.33,2022-10-15
26.927,6.412,2022-10-16
25.603,6.417,2022-10-17
25.324,7.334,2022-10-18
25.461,7.352,2022-10-20
29.479,6.009,2022-10-19
27.289,6.07,2022-10-21
27.639,6.027,2022-10-22
29.343,7.43,2022-10-23
26.761,7.158,2022-10-24
27.489,6.663,2022-10-25
27.687,7.095,2022-10-26
25.94,6.612,2022-10-27
29.91,6.006,2022-10-28
29.644,6.477,2022-10-29
27.715,6.82,2022-10-30
25.148,6.646,2022-10-31
29.682,6.037,2022-11-01
28.874,6.352,2022-11-02
28.468,6.155,2022-11-03
28.794,7.088,2022-11-05
26.766,6.461,2022-11-06
26.215,6.285,2022-11-07
27.121,6.761,2022-11-04
25.331,7.214,2022-11-09
26.747,7.408,2022-11-10
25.036,7.365,2022-11-08
27.77,6.133,2022-11-11
25.483,7.322,2022-11-13
25.076,6.246,2022-11-15
26.575,6.617,2022-11-16
28.651,7.418,2022-11-17
25.855,6.637,2022-11-12
26.111,6.164,2022-11-14
26.227,6.346,2022-11-19
25.823,6.903,2022-11-20
26.72,7.013,2022-11-18
27.67,6.567,2022-11-21
26.472,6.003,2022-11-22
26.787,6.649,2022-11-23
26.457,7.147,2022-11-24
25.843,7.107,2022-11-25
26.216,7.146,2022-11-26
28.971,6.604,2022-11-27
25.707,6.755,2022-11-28
29.67,6.099,2022-11-29
27.776,7.034,2022-11-30
27.221,6.206,2022-12-01
27.544,6.277,2022-12-02
29.939,6.951,2022-12-03
25.914,6.116,2022-12-04
26.224,6.062,2022-12-05
26.11,6.026,2022-12-06
29.957,7.498,2022-12-07
28.308,6.493,2022-12-08
27.605,6.302,2022-12-09
27.915,6.981,2022-12-10
27.07,7.198,2022-12-11
29.914,6.921,2022-12-12
26.692,7.016,2022-12-13
25.492,6.486,2022-12-14
29.31,6.412,2022-12-15
27.844,6.912,2022-12-16
28.742,6.35,2022-12-17
25.068,7.31,2022-12-19
25.835,6.084,2022-12-20
25.24,7.374,2022-12-21
27.299,6.732,2022-12-22
27.42,6.588,2022-12-18
29.697,6.866,2022-12-23
25.16,7.259,2022-12-24
29.46,6.436,2022-12-25
25.547,7.349,2022-12-26
29.879,6.952,2022-12-27
27.693,7.022,2022-12-28
29.09,6.226,2022-12-29
28.327,7.082,2022-12-30
28.254,7.287,2022-12-31
27.391,6.737,2023-01-01
